Time,Time Code,Country Name,Country Code,"Access to clean fuels and technologies for cooking, urban (% of urban population) [EG.CFT.ACCS.UR.ZS]","Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]","People using at least basic drinking water services, urban (% of urban population) [SH.H2O.BASW.UR.ZS]","People using at least basic sanitation services, urban (% of urban population) [SH.STA.BASS.UR.ZS]",Urban population [SP.URB.TOTL],Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Urban population growth (annual %) [SP.URB.GROW],"Access to clean fuels and technologies for cooking, rural (% of rural population) [EG.CFT.ACCS.RU.ZS]","Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]","People using at least basic drinking water services, rural (% of rural population) [SH.H2O.BASW.RU.ZS]","People using at least basic sanitation services, rural (% of rural population) [SH.STA.BASS.RU.ZS]",Rural population [SP.RUR.TOTL],Rural population (% of total population) [SP.RUR.TOTL.ZS],Rural population growth (annual %) [SP.RUR.TOTL.ZG],Expenditure on primary education (% of government expenditure on education) [SE.XPD.PRIM.ZS],Expenditure on secondary education (% of government expenditure on education) [SE.XPD.SECO.ZS],Expenditure on tertiary education (% of government expenditure on education) [SE.XPD.TERT.ZS],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Government expenditure on education, total (% of government expenditure) [SE.XPD.TOTL.GB.ZS]",Gross national expenditure (current US$) [NE.DAB.TOTL.CD]
2008,YR2008,Afghanistan,AFG,62.85,89.9,67.93725149,42.30527293,6162823,23.32,2.8939489,4.4,27.95425084,35.82182899,28.70143991,20264376,76.68,1.732743176,..,..,..,3.50999999,16.64999962,..
2008,YR2008,Albania,ALB,83.1,98.34741974,95.12373941,97.64964343,1473392,49.991,1.435124211,38.4,100,85.83023508,90.50327115,1473922,50.009,-2.921578419,..,..,..,..,..,16649292109
2008,YR2008,Algeria,DZA,99.9,100,94.82740138,91.72993851,22849463,66.097,2.848624388,97,97.935286,86.02554174,76.40276394,11720129,33.903,-0.476222486,..,..,26.97261,4.33701992,11.42835045,1.38062E+11
2008,YR2008,American Samoa,ASM,..,..,..,..,49072,87.799,-0.991562675,..,..,..,..,6819,12.201,-0.043985046,..,..,..,..,..,..
2008,YR2008,Andorra,AND,100,100,100,100,67692,89.004,-3.080926144,100,100,100,100,8363,10.996,0.059805037,..,..,..,2.873929977,..,..
2008,YR2008,Angola,AGO,77.9,61.31,66.40211952,55.42560544,12642253,58.282,4.980011828,7.3,6.609390256,24.13806931,14.92007894,9049269,41.718,1.870259779,..,..,..,2.690000057,7.409999847,67656511646
2008,YR2008,Antigua and Barbuda,ATG,100,100,..,..,22815,27.405,-0.659664697,100,100,..,..,60436,72.595,2.320041123,..,..,..,..,..,1695111111
2008,YR2008,Argentina,ARG,99.6,97.8711319,99.14660242,93.2645895,36459843,90.53,1.173614884,90.5,93.96902296,87.45733387,74.07687801,3813926,9.47,-0.724676159,35.11319,39.19364,17.66036,4.844409943,15.74783993,3.48111E+11
2008,YR2008,Armenia,ARM,98.6,99.36228943,99.34540517,95.96031564,1898649,63.64,-0.855937609,87.3,98.94651265,94.49565739,79.809259,1084772,36.36,-0.427837162,..,..,11.29243,3.172729969,14.26844978,15467472224
2008,YR2008,Aruba,ABW,..,100,..,..,42906,43.783,0.413382967,..,100,..,..,55090,56.217,1.891066725,..,..,..,4.999229908,19.02882957,3071932402
2008,YR2008,Australia,AUS,100,100,99.895,..,18049707,84.943,2.14645819,100,100,99.54666667,..,3199492,15.057,1.20352835,35.42323,38.6164,22.45879,4.632780075,12.59972,1.08261E+12
2008,YR2008,Austria,AUT,100,100,100,99.98158997,4823638,57.966,-0.173990969,100,100,100,100,3497858,42.034,0.988586776,17.83971,46.27748,27.19456,5.263959885,10.55515003,4.1289E+11
2008,YR2008,Azerbaijan,AZE,98.5,99.79614258,95.68945242,84.39497262,4643726,52.99,2.478011081,81.9,99.51143192,69.6164859,74.46154063,4119674,47.01,1.675300163,..,..,11.33714,2.44092989,7.763840199,29615774291
2008,YR2008,"Bahamas, The",BHS,100,100,..,..,298736,82.343,1.473634917,100,100,..,..,64059,17.657,1.191920454,..,..,..,2.890000105,20.07999992,10725500000
2008,YR2008,Bahrain,BHR,100,100,..,..,982987,88.53,6.541168421,100,100,..,..,127356,11.47,6.127949715,..,..,..,2.496779919,10.55867004,20755824468
2008,YR2008,Bangladesh,BGD,39.1,85.19849396,98.18769411,46.48911339,42125647,28.968,3.443691072,1.9,41.65509321,95.22908514,31.56760905,103295671,71.032,-0.136020608,45.29479,39.59189,13.26487,2.05456996,17.81619072,98057250907
2008,YR2008,Barbados,BRB,100,100,..,..,87941,32.256,-0.164747491,100,100,..,..,184694,67.744,0.72598756,36.85655,29.36943,30.08956,4.922599792,15.71065044,4937663900
2008,YR2008,Belarus,BLR,99.6,95.79699707,97.86732291,93.61316319,7024602,73.726,0.270915781,94.8,85.87985945,98.59780328,96.0939588,2503383,26.274,-2.054853146,..,..,..,..,..,64472552510
2008,YR2008,Belgium,BEL,100,100,100,99.48603472,10448114,97.555,0.841239516,100,100,100,99.48505587,261859,2.445,-1.234241525,..,..,21.31581,6.332940102,12.47245026,5.13848E+11
2008,YR2008,Belize,BLZ,95.9,96.4426651,95.53907903,88.53285365,138353,45.262,2.782048904,72.9,77.45946144,90.23776433,82.07857806,167318,54.738,2.85046001,47.32667,40.34306,9.18919,5.772630215,18.89439011,1607500000
2008,YR2008,Benin,BEN,7.8,54.72992706,75.76408376,22.41337195,3746862,42.069,4.16982557,0.8,10.30099516,54.94309567,4.410920755,5159607,57.931,2.069544254,56.48592,24.14933,17.6369,2.777280092,19.08857918,10129709829
2008,YR2008,Bermuda,BMU,..,100,99.93347431,99.93347431,65273,100,0.591576775,..,100,..,..,0,0,..,..,..,..,..,..,..
2008,YR2008,Bhutan,BTN,95.5,98.17562103,96.90132222,73.04740492,229241,33.236,3.51958628,40.3,52.30910196,87.77053381,52.73960453,460496,66.764,0.042354613,23.3702,55.73444,..,4.911590099,15.64472961,1343185189
2008,YR2008,Bolivia,BOL,95.7,99.227943,96.87967255,55.84165849,6475247,65.535,2.423400168,32.7,57.00263149,65.00262753,23.80616379,3405346,34.465,0.423938062,..,..,..,..,..,15516066498
2008,YR2008,Bosnia and Herzegovina,BIH,72.1,99.67864227,96.47945979,98.7265944,1771372,44.92,-0.909325793,23.2,98.96713326,97.08093455,92.29570374,2172020,55.08,-2.199507066,..,..,..,..,..,26564477865
2008,YR2008,Botswana,BWA,80.45,60.1,94.62410875,78.54528953,1193231,59.444,4.613661651,27.9,21.63468233,59.3627709,41.05926163,814089,40.556,-1.639620659,..,..,..,..,..,11212899582
2008,YR2008,Brazil,BRA,98.3,99.821747,98.76208658,86.58022266,161361139,83.749,1.347339007,66.5,91.85225583,81.54762778,47.03715798,31311178,16.251,-0.847965868,31.91941,44.56404,15.91005,5.268839836,14.08339977,1.69907E+12
2008,YR2008,British Virgin Islands,VGB,..,98.55331421,..,..,11530,44.152,4.333671782,..,97.72699076,..,..,14585,55.848,3.027897923,..,..,..,..,..,..
